Algorithm,Dataset,K,Runtime(ms),Memory(MB),PatternCount,MinUtilThreshold
U-TKU,foodmart.txt,10,110,9.24,10,16904.17000
U-TKO,foodmart.txt,10,407,65.27,10,16904.17000
U-EFIM,foodmart.txt,10,320,152.19,10,16904.17000
U-TKU,foodmart.txt,50,126,11.82,50,13237.67000
U-TKO,foodmart.txt,50,358,68.19,50,13237.67000
U-EFIM,foodmart.txt,50,160,80.17,50,13237.67000
U-TKU,foodmart.txt,100,182,5.35,100,11870.83000
U-TKO,foodmart.txt,100,360,87.30,100,11870.83000
U-EFIM,foodmart.txt,100,183,55.13,100,11870.83000
U-TKU,foodmart.txt,500,625,6.71,500,7369.86000
U-TKO,foodmart.txt,500,406,95.34,500,7369.86000
U-EFIM,foodmart.txt,500,314,64.29,500,7369.86000
U-TKU,liquor.txt,10,8845,56.44,10,210503.51910
U-TKO,liquor.txt,10,12433,70.72,10,280502.67350
U-EFIM,liquor.txt,10,6495,179.24,10,280502.67350
U-TKU,liquor.txt,50,28978,62.90,50,90387.88790
U-TKO,liquor.txt,50,11186,59.77,50,117838.78816
U-EFIM,liquor.txt,50,6750,106.48,50,117851.96663
U-TKU,liquor.txt,100,54087,64.57,100,56474.57561
U-TKO,liquor.txt,100,14796,46.51,100,82270.65645
U-EFIM,liquor.txt,100,8334,79.77,100,82389.66381
U-TKU,liquor.txt,500,164406,67.80,500,15000.58987
U-TKO,liquor.txt,500,9042,43.82,500,33908.15089
U-EFIM,liquor.txt,500,5144,124.44,500,33832.42896

